1 85.368
2 83.104
3 106.994
4 76.67
5 129.71
6 114.062
7 111.966
8 97.224
9 73.93
10 83.332
11 92.94
12 93.094
13 78.004
14 129.786
15 80.944
16 108.044
17 112.63
18 109.174
19 90.992
20 92.532
21 115.38
22 105.832
23 79.714
24 104.952
25 86.786
26 86.64
27 83.67
28 106.952
29 98.798
30 96.972
31 80.91
32 108.014
33 100.02
34 97.038
35 88
36 116.23
37 89.894
38 88.558
39 87.602
40 126.932
41 94.084
42 108.298
43 93.318
44 94.258
45 103.866
46 89.532
47 105.304
48 85.592
49 124.11
50 109.832
51 107.844
52 82.808
53 145.716
54 104.278
55 79.752
56 93.866
57 104.654
58 102.636
59 118.794
60 99.95
61 110.106
62 82.89
63 92.47
64 106.438
65 112.34
66 104.388
67 74.434
68 83.56
69 117.766
70 99.406
71 114.396
72 78.834
73 91.938
74 68.798
75 78.206
76 89.408
77 95.078
78 111.908
79 86.02
80 103.216
81 105.932
82 98.06
83 97.2
84 102.61
85 126.59
86 83.832
87 92.854
88 90.226
89 107.31
90 90.11
91 110.228
92 98.802
93 84.626
94 106.88
95 88.658
96 85.934
97 104.404
98 74.604
99 118.998
100 94.772
